"","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","CODINFOR","P300A","P301A","P207","P507","P513T","P524A1","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"2936","191825113200101123",19182,5,11,3,200101,1,2,3,4,9,2,3,56,850,2,2,2,2,2,2
"2937","1918219111200101121",19182,19,11,1,200101,1,2,1,4,10,1,3,16,1900,2,2,2,2,2,2
"2938","1918219112200101122",19182,19,11,2,200101,1,2,2,4,10,2,3,32,2000,2,2,2,2,2,2
"2939","1918233113200101123",19182,33,11,3,200101,1,2,3,4,8,2,3,48,2200,2,2,2,2,2,2
"2940","1918247111200101121",19182,47,11,1,200101,1,2,1,4,6,1,4,36,1160,2,2,2,2,2,2
"2941","1918261112200101122",19182,61,11,2,200101,1,2,2,4,8,2,3,0,750,2,2,2,2,2,2
"2942","1918261113200101123",19182,61,11,3,200101,1,2,3,4,9,2,3,57,1595,2,2,2,2,2,2
"2943","19182117111200101121",19182,117,11,1,200101,1,2,1,4,8,2,3,51,930,2,2,2,2,2,2
"2944","19182117112200101122",19182,117,11,2,200101,1,2,2,4,8,1,4,66,1500,2,2,2,2,2,2
"2945","19182117113200101123",19182,117,11,3,200101,1,2,3,4,9,2,3,66,1445,2,2,2,2,2,2
"2946","19182131113200101123",19182,131,11,3,200101,1,2,3,4,8,1,4,60,250,2,2,2,2,2,2
"2947","1919610113200115123",19196,10,11,3,200115,1,2,3,4,6,1,4,16,120,2,2,2,2,2,2
"2948","1919621111200115121",19196,21,11,1,200115,1,2,1,4,6,1,4,48,1440,2,2,2,2,2,2
"2949","1919621112200115122",19196,21,11,2,200115,1,2,2,4,4,2,6,6,100,2,2,2,2,2,2
"2950","1919621113200115123",19196,21,11,3,200115,1,2,3,4,7,1,3,18,70,2,2,2,2,2,2
"2951","1919632112200115122",19196,32,11,2,200115,1,2,2,4,6,1,4,48,600,2,2,2,2,2,2
"2952","1919643111200115121",19196,43,11,1,200115,1,2,1,4,5,2,4,50,210,2,2,2,2,2,2
"2953","1919643112200115122",19196,43,11,2,200115,1,2,2,4,6,1,4,54,270,2,2,2,2,2,2
"2954","1919654111200115121",19196,54,11,1,200115,1,2,1,4,7,2,4,48,930,2,2,2,2,2,2
"2955","1924815112200105132",19248,15,11,2,200105,1,3,2,4,5,2,6,48,50,2,2,2,2,2,2
"2956","1924836121200105131",19248,36,12,1,200105,1,3,1,4,6,1,4,52,360,2,2,2,2,2,2
"2957","1924836125200105135",19248,36,12,5,200105,1,3,5,4,6,1,4,46,390,2,2,2,2,2,2
"2958","1924836221200105131",19248,36,22,1,200105,1,3,1,4,6,1,4,27,150,2,2,2,2,2,2
"2959","1924877111200105131",19248,77,11,1,200105,1,3,1,4,5,2,6,39,750,2,2,2,2,2,2
"2960","19248118111200105131",19248,118,11,1,200105,1,3,1,4,8,1,3,40,2500,2,2,2,2,2,2
"2961","19248118114200105134",19248,118,11,4,200105,1,3,4,4,9,2,3,48,1200,2,2,2,2,2,2
"2962","19248139111200105131",19248,139,11,1,200105,1,3,1,4,3,1,4,16,60,2,2,2,2,2,2
"2963","1926554111200402151",19265,54,11,1,200402,1,5,1,4,4,1,4,25,175,2,2,2,2,2,2
"2964","1926554112200402152",19265,54,11,2,200402,1,5,2,4,3,2,3,4,12,2,2,2,2,2,2
"2965","1926554114200402154",19265,54,11,4,200402,1,5,4,4,6,1,4,54,210,2,2,2,2,2,2
"2966","1926566111200402151",19265,66,11,1,200402,1,5,1,4,6,1,4,48,200,2,2,2,2,2,2
"2967","1926579111200402151",19265,79,11,1,200402,1,5,1,4,4,1,4,21,210,2,2,2,2,2,2
"2968","1926934113200701133",19269,34,11,3,200701,1,3,3,4,4,1,4,20,200,2,2,2,2,2,2
"2969","1926934115200701135",19269,34,11,5,200701,1,3,5,4,6,2,6,8,50,2,2,2,2,2,2
"2970","192715111200501131",19271,5,11,1,200501,1,3,1,4,7,1,4,5,300,2,2,2,2,2,2
"2971","1927148111200501131",19271,48,11,1,200501,1,3,1,4,3,1,4,54,295,2,2,2,2,2,2
"2972","1927148113200501133",19271,48,11,3,200501,1,3,3,4,8,1,3,43,1700,2,2,2,2,2,2
"2973","1927192111200501131",19271,92,11,1,200501,1,3,1,4,6,1,3,0,2500,2,2,2,2,2,2
"2974","192772111200605141",19277,2,11,1,200605,1,4,1,4,3,1,4,37,930,2,2,2,2,2,2
"2975","1927717111200605141",19277,17,11,1,200605,1,4,1,4,6,1,4,24,180,2,2,2,2,2,2
"2976","1927733114200605144",19277,33,11,4,200605,1,4,4,4,7,1,4,40,250,2,2,2,2,2,2
"2977","1927795111200605141",19277,95,11,1,200605,1,4,1,4,3,1,3,33,180,2,2,2,2,2,2
"2978","192923111200105131",19292,3,11,1,200105,1,3,1,4,5,1,4,48,450,2,2,2,2,2,2
"2979","1929240111200105131",19292,40,11,1,200105,1,3,1,4,4,1,3,3,465,2,2,2,2,2,2
"2980","1929240112200105132",19292,40,11,2,200105,1,3,2,4,6,2,3,61,70,2,2,2,2,2,2
"2981","1929265111200105131",19292,65,11,1,200105,1,3,1,4,6,1,4,40,1287,2,2,2,2,2,2
"2982","1929265112200105132",19292,65,11,2,200105,1,3,2,4,4,2,4,24,100,2,2,2,2,2,2
"2983","1934025111200703151",19340,25,11,1,200703,1,5,1,4,6,1,3,41,1500,2,2,2,2,2,2
"2984","1934038111200703151",19340,38,11,1,200703,1,5,1,4,8,1,3,50,1800,2,2,2,2,2,2
"2985","1934065111200703151",19340,65,11,1,200703,1,5,1,4,6,1,4,35,1800,2,2,2,2,2,2
"2986","1934079111200703151",19340,79,11,1,200703,1,5,1,4,6,2,4,2,10,2,2,2,2,2,2
"2987","1934079113200703153",19340,79,11,3,200703,1,5,3,4,6,2,6,4,30,2,2,2,2,2,2
"2988","1935816113200401133",19358,16,11,3,200401,1,3,3,4,6,1,4,48,1500,2,2,2,2,2,2
"2989","1935869111200401131",19358,69,11,1,200401,1,3,1,4,6,1,4,33,150,2,2,2,2,2,2
"2990","1935869112200401132",19358,69,11,2,200401,1,3,2,4,6,2,4,5,20,2,2,2,2,2,2
"2991","1935895111200401131",19358,95,11,1,200401,1,3,1,4,4,1,4,48,756,2,2,2,2,2,2
"2992","19358148113200401133",19358,148,11,3,200401,1,3,3,4,6,1,4,36,180,2,2,2,2,2,2
"2993","19358200111200401131",19358,200,11,1,200401,1,3,1,4,4,1,4,40,150,2,2,2,2,2,2
"2994","1936253111200109142",19362,53,11,1,200109,1,4,2,4,3,1,4,67,700,2,2,2,2,2,2
"2995","1936267111200109141",19362,67,11,1,200109,1,4,1,4,3,1,4,21,105,2,2,2,2,2,2
"2996","1936267112200109142",19362,67,11,2,200109,1,4,2,4,4,2,4,21,105,2,2,2,2,2,2
"2997","1936267113200109143",19362,67,11,3,200109,1,4,3,4,6,1,4,22,120,2,2,2,2,2,2
"2998","1936267115200109142",19362,67,11,5,200109,1,4,2,4,6,1,4,67,400,2,2,2,2,2,2
"2999","1936294111200109141",19362,94,11,1,200109,1,4,1,4,3,1,4,48,240,2,2,2,2,2,2
"3000","1936294113200109143",19362,94,11,3,200109,1,4,3,4,7,1,4,8,40,2,2,2,2,2,2
"3001","1938317114200108154",19383,17,11,4,200108,1,5,4,4,6,2,6,60,800,2,2,2,2,2,2
