MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300A,P301A,P207
5.51852E+16,5518,52,11,2,40102,6,1,1,4,5,1
5.51884E+16,5518,84,11,1,40102,6,1,0, , ,2
5.51884E+16,5518,84,11,2,40102,6,1,0, , ,1
5.51884E+16,5518,84,11,3,40102,6,1,3,4,6,1
5.51884E+16,5518,84,11,4,40102,6,1,4,4,5,2
5.51884E+16,5518,84,11,5,40102,6,1,4,4,1,2
5.51884E+16,5518,84,11,6,40102,6,1,0, , ,1
5.51884E+16,5518,84,11,7,40102,6,1,0, , ,2
5.51884E+16,5518,84,11,8,40102,6,1,0, , ,1
5.5181E+17,5518,100,11,1,40102,6,1,1,2,3,1
5.5181E+17,5518,100,11,2,40102,6,1,2,2,4,2
5.5181E+17,5518,100,11,3,40102,6,1,3,4,10,2
5.51812E+17,5518,118,11,1,40102,6,1,1,1,5,1
5.51812E+17,5518,118,11,2,40102,6,1,2,4,8,2
5.51812E+17,5518,118,11,4,40102,6,1,4,2,4,2
5.51812E+17,5518,118,11,5,40102,6,1,5,2,4,2
5.51812E+17,5518,118,11,6,40102,6,1,5,4,7,2
5.55978E+16,5559,78,11,1,40129,6,1,1,4,10,2
5.55914E+17,5559,140,11,1,40129,6,1,2,4,11,1
5.55914E+17,5559,140,11,2,40129,6,1,2,4,11,2
5.55917E+17,5559,171,11,1,40129,6,1,1,4,10,2
5.55917E+17,5559,171,11,2,40129,6,1,1,4,9,1
5.55917E+17,5559,171,11,3,40129,6,1,3,4,10,1
5.5592E+17,5559,202,11,1,40129,6,1,1,4,10,1
5.5592E+17,5559,202,11,2,40129,6,1,2,4,11,2
5.5592E+17,5559,202,11,3,40129,6,1,1,4,1,2
5.55923E+17,5559,232,11,1,40129,6,1,1,4,11,1
5.55923E+17,5559,232,11,2,40129,6,1,2,4,11,2
5.55923E+17,5559,232,11,3,40129,6,1,3,4,9,1
5.55923E+17,5559,232,11,4,40129,6,1,4,4,9,2
5.5701E+16,5570,10,11,1,40122,6,1,1,4,5,2
5.5701E+16,5570,10,11,2,40122,6,1,2,4,6,1
5.57011E+17,5570,109,11,1,40122,6,1,1,4,6,1
5.57011E+17,5570,109,11,2,40122,6,1,2,4,6,2
5.57011E+17,5570,109,11,3,40122,6,1,3,4,8,1
5.57011E+17,5570,109,11,4,40122,6,1,4,4,8,1
5.57011E+17,5570,109,11,5,40122,6,1,2,1,3,2
5.59161E+15,5591,6,11,1,40413,3,5,1,4,5,2
5.59118E+16,5591,18,11,1,40413,3,5,1,1,6,1
5.59118E+16,5591,18,11,2,40413,3,5,2,1,6,2
5.59118E+16,5591,18,11,3,40413,3,5,2,4,3,2
5.59118E+16,5591,18,11,4,40413,3,5,2,4,3,1
5.59118E+16,5591,18,11,5,40413,3,5,2,4,1,1
5.59129E+16,5591,29,11,1,40413,3,5,1,1,3,2
5.59129E+16,5591,29,11,2,40413,3,5,2,1,6,1
5.59165E+16,5591,65,11,1,40413,3,5,1,1,4,1
5.59165E+16,5591,65,11,2,40413,3,5,2,1,3,2
5.59165E+16,5591,65,11,3,40413,3,5,3,4,6,1
5.59165E+16,5591,65,11,4,40413,3,5,4,4,6,1
5.5911E+17,5591,100,11,1,40413,3,5,2,1,3,2
5.5911E+17,5591,100,11,2,40413,3,5,2,1,5,1
5.5911E+17,5591,100,11,3,40413,3,5,3,4,6,1
5.5911E+17,5591,100,11,4,40413,3,5,4,4,4,1
5.5911E+17,5591,100,11,5,40413,3,5,5,4,6,2
5.5911E+17,5591,100,11,6,40413,3,5,5,4,1,2
5.5911E+17,5591,100,11,7,40413,3,5,7,4,5,1
5.63915E+16,5639,15,11,1,40704,3,5,1,4,6,1
5.63915E+16,5639,15,11,2,40704,3,5,2,4,6,2
5.63915E+16,5639,15,11,3,40704,3,5,3,4,6,2
5.63915E+16,5639,15,11,4,40704,3,5,2,4,3,1
5.63915E+16,5639,15,11,5,40704,3,5,2,4,1,1
5.63926E+16,5639,26,11,1,40704,3,5,1,2,1,2
5.63926E+16,5639,26,11,2,40704,3,5,1,4,6,1
5.63954E+16,5639,54,11,1,40704,3,5,2,4,4,1
5.63954E+16,5639,54,11,2,40704,3,5,2,4,8,2
5.63954E+16,5639,54,11,3,40704,3,5,3,4,8,2
5.63954E+16,5639,54,11,4,40704,3,5,3,4,6,1
5.63965E+16,5639,65,11,1,40704,3,5,1,4,7,2
5.63965E+16,5639,65,11,2,40704,3,5,2,4,6,1
5.63965E+16,5639,65,11,3,40704,3,5,1,4,6,1
5.63965E+16,5639,65,11,4,40704,3,5,4,4,6,1
5.63979E+16,5639,79,11,1,40704,3,5,0, , ,2
5.63979E+16,5639,79,11,2,40704,3,5,0, , ,1
5.63979E+16,5639,79,11,3,40704,3,5,3,4,6,2
5.67946E+16,5679,46,11,1,40108,3,8,0, , ,1
5.67946E+16,5679,46,11,2,40108,3,8,2,4,6,2
5.67946E+16,5679,46,11,3,40108,3,8,3,4,5,1
5.67946E+16,5679,46,11,4,40108,3,8,2,4,2,2
5.67912E+17,5679,116,11,1,40108,3,8,1,1,4,1
5.67912E+17,5679,116,11,2,40108,3,8,2,1,3,2
5.67912E+17,5679,116,11,3,40108,3,8,3,4,8,2
5.67912E+17,5679,116,11,4,40108,3,8,0, , ,1
5.67912E+17,5679,120,11,1,40108,3,8,1,1,4,1
5.67912E+17,5679,120,11,2,40108,3,8,2,1,4,2
5.67912E+17,5679,120,11,3,40108,3,8,3,4,7,1
5.67912E+17,5679,120,11,4,40108,3,8,4,4,5,1
5.67912E+17,5679,120,11,5,40108,3,8,2,4,3,2
5.67912E+17,5679,120,11,6,40108,3,8,2,4,1,1
5.69271E+15,5692,7,11,1,50101,5,2,1,1,8,1
5.69271E+15,5692,7,11,2,50101,5,2,2,1,4,2
5.69271E+15,5692,7,11,3,50101,5,2,3,4,7,2
5.69271E+15,5692,7,11,4,50101,5,2,4,4,5,1
5.69223E+16,5692,23,11,1,50101,5,2,1,4,5,1
5.69223E+16,5692,23,11,2,50101,5,2,2,4,7,2
5.69223E+16,5692,23,11,3,50101,5,2,2,4,3,1
5.69223E+16,5692,23,11,4,50101,5,2,2,4,3,2
5.69223E+16,5692,23,11,5,50101,5,2,2,4,2,1
5.69253E+16,5692,53,11,1,50101,5,2,1,1,5,1
5.69253E+16,5692,53,11,2,50101,5,2,2,1,4,2
5.69253E+16,5692,53,11,3,50101,5,2,3,4,5,1
5.69253E+16,5692,53,11,4,50101,5,2,2,4,3,2
5.69268E+16,5692,68,11,1,50101,5,2,0, , ,1
